"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
0,4.57615287324631,0.971,0.089,0,"Monocytes","PLXDC2"
0,5.69432351300748,0.918,0.046,0,"Monocytes","CSF3R"
0,5.54099919114466,0.959,0.093,0,"Monocytes","VCAN"
0,4.74779325081379,0.91,0.069,0,"Monocytes","LRMDA"
0,4.0579503178581,0.977,0.162,0,"Monocytes","FCN1"
0,4.22875186328377,0.915,0.114,0,"Monocytes","GAB2"
0,3.92402638229759,0.847,0.074,0,"Monocytes","SLC8A1"
0,3.4652473812847,0.889,0.127,0,"Monocytes","TBXAS1"
0,4.54123121698361,0.819,0.057,0,"Monocytes","TNFAIP2"
0,4.72232015977887,0.814,0.065,0,"Monocytes","RBM47"
0,2.42177458763503,0.944,0.196,0,"Monocytes","LYN"
0,4.24113935216965,0.803,0.059,0,"Monocytes","IRAK3"
0,3.38503144135629,0.905,0.168,0,"Monocytes","PTPRE"
0,4.72544914637392,0.804,0.071,0,"Monocytes","PLAUR"
0,4.23896619789063,0.799,0.067,0,"Monocytes","DMXL2"
0,3.70071934546942,0.814,0.087,0,"Monocytes","MCTP1"
0,2.72006299176475,0.955,0.247,0,"Monocytes","ZEB2"
0,4.22962298624687,0.778,0.071,0,"Monocytes","CD14"
0,4.86327630366438,0.755,0.048,0,"Monocytes","SLC11A1"
0,2.93484566313074,0.872,0.169,0,"Monocytes","TYMP"
0,3.11009492617029,0.802,0.114,0,"Monocytes","FAM49A"
0,4.00099683146976,0.753,0.065,0,"Monocytes","CLEC7A"
0,3.28127481309879,0.83,0.144,0,"Monocytes","MNDA"
0,3.15039124689859,0.904,0.221,0,"Monocytes","PLCB1"
0,3.77834172356071,0.773,0.09,0,"Monocytes","SULF2"
0,2.45850343380249,0.897,0.216,0,"Monocytes","CD83"
0,3.64872757358591,0.978,0.311,0,"Monocytes","NAMPT"
0,3.78606600378624,0.752,0.086,0,"Monocytes","KYNU"
0,3.9902574448495,0.759,0.095,0,"Monocytes","ACSL1"
0,3.42648034094711,0.747,0.083,0,"Monocytes","HCK"
0,4.90145783257103,0.708,0.048,0,"Monocytes","CD36"
0,4.95621773269433,0.707,0.047,0,"Monocytes","IL1B"
0,2.58766902094355,0.806,0.15,0,"Monocytes","IFI30"
0,1.97342736660499,0.893,0.238,0,"Monocytes","CST3"
0,3.56893903598685,0.75,0.099,0,"Monocytes","AP003086.1"
0,3.53445565300827,0.74,0.093,0,"Monocytes","CYBB"
0,3.51118398411968,0.73,0.093,0,"Monocytes","MPEG1"
0,2.96835868076598,0.772,0.136,0,"Monocytes","GRN"
0,3.85707371890297,0.707,0.073,0,"Monocytes","RAB31"
0,2.13492346783813,0.861,0.231,0,"Monocytes","TYROBP"
0,2.61876564219655,0.931,0.303,0,"Monocytes","QKI"
0,3.06198607924251,0.744,0.117,0,"Monocytes","CEBPD"
0,2.70838081924266,0.749,0.122,0,"Monocytes","SYK"
0,4.04149237849411,0.682,0.058,0,"Monocytes","FGD4"
0,2.09269607875991,0.965,0.341,0,"Monocytes","AOAH"
0,1.75904707760668,0.824,0.203,0,"Monocytes","FCER1G"
0,2.89647671471964,0.98,0.366,0,"Monocytes","ARHGAP26"
0,2.59606572406084,0.806,0.193,0,"Monocytes","TET2"
0,5.5330950765634,0.637,0.025,0,"Monocytes","TREM1"
0,4.22162924126745,0.663,0.052,0,"Monocytes","AC020656.1"
0,3.53803496257608,0.684,0.074,0,"Monocytes","TMEM176B"
0,3.72610598672123,0.691,0.082,0,"Monocytes","STX11"
0,2.93062170816697,0.713,0.105,0,"Monocytes","CPVL"
0,2.50937673379206,0.739,0.131,0,"Monocytes","SERPINA1"
0,1.29477145163415,0.947,0.342,0,"Monocytes","HLA-DRA"
0,3.83667514937055,0.657,0.056,0,"Monocytes","CLEC12A"
0,1.67504023408897,0.858,0.26,0,"Monocytes","HLA-DRB1"
0,3.45087035633869,0.675,0.078,0,"Monocytes","GAS7"
0,2.21895904455598,0.779,0.182,0,"Monocytes","AIF1"
0,2.54181968476446,0.795,0.199,0,"Monocytes","APLP2"
0,5.31804797767438,0.639,0.043,0,"Monocytes","CXCL8"
0,2.07748208399429,0.742,0.146,0,"Monocytes","MEF2C"
0,3.28505590726483,0.678,0.083,0,"Monocytes","EMILIN2"
0,3.21730923437496,0.701,0.107,0,"Monocytes","NAIP"
0,2.9329501343042,0.717,0.123,0,"Monocytes","RNF130"
0,5.00738198403712,0.626,0.036,0,"Monocytes","NLRP3"
0,2.91797788755717,0.705,0.117,0,"Monocytes","MAML3"
0,2.47730233876844,0.81,0.223,0,"Monocytes","RGS2"
0,3.96846219722944,0.638,0.051,0,"Monocytes","MS4A6A"
0,3.50029968467415,0.66,0.079,0,"Monocytes","EVI5"
0,2.71985025137937,0.684,0.103,0,"Monocytes","SPI1"
0,2.87681389220264,0.69,0.11,0,"Monocytes","FGR"
0,4.00384131886632,0.992,0.417,0,"Monocytes","LYZ"
0,4.56151488995789,0.617,0.042,0,"Monocytes","TLR2"
0,2.57881941544171,0.822,0.248,0,"Monocytes","AC020916.1"
0,2.43686812205084,0.758,0.185,0,"Monocytes","C9orf72"
0,2.17885106096811,0.872,0.3,0,"Monocytes","VMP1"
0,4.95863335909781,0.604,0.032,0,"Monocytes","CREB5"
0,2.82231622601433,0.679,0.108,0,"Monocytes","GRK3"
0,4.0417687198078,0.623,0.052,0,"Monocytes","LRP1"
0,2.30880236771279,0.705,0.135,0,"Monocytes","MARCH1"
0,2.46837393274647,0.777,0.209,0,"Monocytes","CTSD"
0,3.32564682666097,0.651,0.085,0,"Monocytes","NCF2"
0,2.17308459520197,0.817,0.252,0,"Monocytes","DENND1A"
0,3.18418261100178,0.656,0.093,0,"Monocytes","KLF4"
0,2.10404638892912,0.889,0.326,0,"Monocytes","ATG7"
0,2.38287910790831,0.951,0.394,0,"Monocytes","CTSS"
0,3.29504040241494,0.626,0.069,0,"Monocytes","DOCK5"
0,2.66025889953933,0.736,0.18,0,"Monocytes","NCF1"
0,3.69724127748862,0.612,0.056,0,"Monocytes","C5AR1"
0,2.05485075670937,0.834,0.279,0,"Monocytes","FNDC3B"
0,4.31085650759686,0.598,0.043,0,"Monocytes","KIF13A"
0,3.20571852362756,0.641,0.087,0,"Monocytes","CPPED1"
0,2.67114858431859,0.976,0.423,0,"Monocytes","PSAP"
0,1.74529603121491,0.874,0.327,0,"Monocytes","MYO1F"
0,4.13597494782438,0.59,0.045,0,"Monocytes","CSF2RA"
0,4.02851468024542,0.599,0.054,0,"Monocytes","LRRK2"
0,2.53653774873498,0.701,0.156,0,"Monocytes","PLEK"
0,2.61588444137619,0.672,0.128,0,"Monocytes","ASAH1"
0,6.04381680219595,0.559,0.016,0,"Monocytes","FCAR"
0,1.9061364346426,0.778,0.242,0,"Monocytes","TNFRSF1B"
0,2.28896852731836,0.882,0.347,0,"Monocytes","JARID2"
0,3.59427645009754,0.596,0.062,0,"Monocytes","PRAM1"
0,2.39961833757418,0.787,0.255,0,"Monocytes","RRP12"
0,2.27640281239697,0.758,0.228,0,"Monocytes","FOXO3"
0,2.2618761367841,0.747,0.218,0,"Monocytes","RAB11FIP1"
0,2.17170297317378,0.707,0.178,0,"Monocytes","JAML"
0,2.43599530585499,0.728,0.202,0,"Monocytes","RILPL2"
0,2.21363760012728,0.687,0.161,0,"Monocytes","UBE2E2"
0,2.40345227396218,0.981,0.457,0,"Monocytes","SAT1"
0,3.15765942984559,0.615,0.092,0,"Monocytes","ATF3"
0,2.0898180945388,0.73,0.207,0,"Monocytes","NUMB"
0,2.85369604220193,0.606,0.083,0,"Monocytes","PILRA"
0,1.74502360552046,0.819,0.297,0,"Monocytes","LYST"
0,3.54982523895742,0.583,0.065,0,"Monocytes","SLC43A2"
0,2.27593769782515,0.734,0.217,0,"Monocytes","ATP2B1-AS1"
0,1.9487746851263,0.756,0.239,0,"Monocytes","SBF2"
0,2.32327843861102,0.694,0.177,0,"Monocytes","TOM1"
0,4.73101389585148,0.551,0.035,0,"Monocytes","WDFY3"
0,1.92793911849151,0.878,0.367,0,"Monocytes","SIPA1L1"
0,1.95957869550578,0.919,0.41,0,"Monocytes","ZSWIM6"
0,2.20013679924916,0.694,0.187,0,"Monocytes","MANBA"
0,1.89907178665091,0.593,0.087,0,"Monocytes","ARHGAP24"
0,2.05258343996467,0.641,0.135,0,"Monocytes","PECAM1"
0,4.70401109885605,0.543,0.038,0,"Monocytes","PID1"
0,1.85500522330134,0.821,0.316,0,"Monocytes","CUX1"
0,2.08130886407475,0.705,0.201,0,"Monocytes","CEBPB"
0,1.84556344606442,0.836,0.333,0,"Monocytes","MYO9B"
0,2.97313712769114,0.56,0.06,0,"Monocytes","LILRB2"
0,2.25777193406079,0.679,0.179,0,"Monocytes","TKT"
0,1.71456681149438,0.882,0.384,0,"Monocytes","SLCO3A1"
0,1.90020014593807,0.866,0.369,0,"Monocytes","RABGEF1"
